"laoguoyin:yapin","chars","freq_chars"
"fu3","拊俌俛俯偩嘸府弣捬撫斧甫㾈秿脯腑莆蚥𧉊䘀釜頫鬴黼腐","府俯腑腐甫斧撫"
"fu4","付副傅㕮咐坿祔婦富滏父䍸腐仆𦺉蚹蝜訃詂負賦賻赴軵輔阜附䩉駙𩬙鮒","父婦負付副傅富賦赴訃咐附駙腐輔"
"fu5","復垘佛覆伏偪匐冹刜咈坲复岪幅弗彿怫拂服柫栿沸洑澓祓福笰箙䈏𥳇紱紼綍翇腹芾茯葍蕧虙𧌘蝠蝮袚複䟮踣踾𨌥輹𨚓𩍩韍𩖼馥鵩鶝黻髴","福蝠幅弗佛彿拂髴伏復腹馥覆複服"
"gai1","侅剴垓峐晐痎祴絯該賅陔","該"
"gai3","改㱼","改"
"gai4","丐匄摡戤扢槩概瓂䐴蓋鈣𪙏溉盖","蓋盖丐概溉"
"gan1","乾尷干忓𢧀杆柑桿泔玕甘疳竿肝苷虷迀䧲淦","干杆桿竿肝甘柑乾"
"gan3","感擀敢橄澉𥕵䃭秆稈簳赶趕骭鱤灨","敢橄趕感"
"gan4","幹旰榦矸竷紺詌贛𪉦","幹贛"
"gang1","亢㽘剛堈岡掆崗扛杠犅㼚矼笐綱缸罡肛肮苀𦱌邟釭阬魧鋼","岡鋼綱剛肛缸"
"gang3","𢞡港犺䴚","港"
"gang4","槓虹肛","虹肛"
"gau1","咎橰獋皋睾篙糕羔臯䓘䔌餻高鼛櫜膏","高篙膏羔餻糕"
"gau3","搞夰暠杲𣓌槀槁皓稾藁稿","稿皓"
"gau4","告誥鋯","告"
"ge5","嗝格挌𢯹搿槅滆疙肐膈虼裓隔革鬲鉻胳骼","格胳骼隔膈革"
"geng1","更粳庚浭秔羹耕賡鶊","庚賡更羹耕"
"geng3","哽埂𡩃挭梗炅綆耿郠骾鯁","梗耿"
"geng4","更亘亙堩絚揯","更亘亙"
"geu1","句傋冓勾拘溝緱䑦褠鉤鞲𪓟鈎","勾鉤鈎溝"
"geu3","垢岣枸狗玽笱耉苟豿鮈茍","狗苟茍垢"
"geu4","姤媾夠彀㝅搆構瞉茩𧃛覯訽購遘雊垢","夠彀媾購構垢"
"go1","哥㢦戈擱歌菏滒牁䔅鴚","哥歌戈"
"go4","個箇个","個个箇"
"go5","割各合𢓜㧁㪉㵧猲葛蓋蛤蛒袼觡䛿趷𨜴鉿閣閤頜䫦鮯鮥𩹿鴿鵅咯擱","各咯蛤閣擱割葛鴿"
"gong1","供侊公玒㓚攻功宮工弓恭杠㴦肱蚣觥躬䢼龔","工攻功公蚣弓躬供龔恭宮觥"
"gong3","礦卝廾珙㤨拱拲栱䂬穬𦦧鞏䱋𪍿","拱"
"gong4","共㔶𣹟䇨羾貢贛供汞","共供貢汞"
"gu1","咕沽呱姑嫴孤柧橭泒箍箛䉉罛苽菰菇蛄觚軱辜𨬟鴣","姑沽菇辜孤箍"
"gu3","估古嘏牯𥂩瞽罟羖股蠱賈鈷鼓鼔","古估鼓賈股"
"gu4","凅固故棝痼稒錮雇顧鯝僱","故雇僱顧固"
"gu5","告愲榖梏榾汩淈滑瀔牿穀縎䓛蓇谷𧳸轂骨鵠","告骨谷穀"
"gua1","蝸㧓瓜胍","瓜"
"gua3","冎剮寡𣑍","寡"
"gua4","卦袿掛噲挂絓罣罫褂𧬮","挂卦掛褂"
"gua5","括姡佸刮劀活䀨秳筈聒䒷萿葀銛髺颳","括刮聒颳"
"guai1","乖㾩娃","乖娃"
"guai3","拐柺𦫳","拐"
"guai4","夬廥獪怪恠𢶒旝澮檜襘鄶","怪"
"guan1","觀冠倌𠴨官棺瘝綸莞關鰥","官棺關觀鰥冠"
"guan3","卝悹痯筦管琯脘舘輨錧館","管館舘"
"guan4","丱涫慣懽灌爟瓘矔祼罐貫鑵鱹鸛觀礶冠","貫慣灌觀礶罐冠"
"guang1","光桄侊洸珖胱茪銧𩧉黆","光胱"
"guang3","廣獷𠍧懭逛鄺","廣"
"guêi1","圭嫢嬀摫槻歸潙瑰皈硅窐茥𦿡規邽閨𨾚鮭龜傀","規歸圭閨龜瑰"
"guêi3","垝佹匭厬姽宄庪晷氿癸祪簋𦞙蛫蟡觤詭軌䣀䤥陒𩑔鬼","鬼軌癸詭晷"
"guêi4","劊劌匱幗憒撅昋桂橛櫃炅炔𤜂筀膾貴趹蹶𩌃鱠䳏跪瑰","貴櫃桂跪瑰劊"
"guen3","丨掍滚緄蓘衮輥錕𩩌鯀滾","滾"
"guo1","過堝渦瘑𨍋鍋𩰫","鍋"
"guo3","倮𠜴惈果猓菓蜾裹䴹","果菓裹"
"guo4","腂過","過"
"guo5","國埻崞幗摑椁㶁𥆘矌虢适郭馘","國郭"
"hai1","咍唉","唉"
"hai2","咳孩骸還","孩還"
"hai3","海醢","海"
"hai4","亥噧妎害㤥㱾𦤬𥩲駭","害亥駭"
"han2","含唅函圅寒𡪶崡㟏扞浛涵瀚珩甝蜬谽邗酣䤴韓馯","寒含韓函涵"
"han3","喊厂㯺熯㺖闞鬫罕","喊罕"
"han4","汗琀憾暵旱垾捍悍撼涆漢濫犴皔䓍菡蔊蜭䗣釬閈雗頜顄駻鳱鶾罕翰","漢汗罕旱悍翰憾"
"hang2","吭杭笐肮航沆桁苀行迒魧降","杭航行降"
"hang4","𦐄項","項"
"hau1","嚆找蒿薅𧯌","蒿"
"hau2","兞呺噑壕㠙毫濠竓粍蠔豪𨚙號","毫豪號"
"hau3","好薃","好"
"hau4","號号夰昊晧皥浩灝皓皜滈秏𧬁鎬顥好耗","號浩皓好耗"
"he5","黑𨭆𢅰閡匌嚇劾核掝紇覈赫麧嘿","黑嘿核赫嚇"
"hen2","拫痕","痕"
"hen3","狠很","很狠"
"hen4","很恨詪","恨"
"heng1","亨哼悙脝蘅","亨哼"
"heng2","姮恆桁橫衡蘅恒","橫恆恒衡"
"heu1","㗕齁餱","餱"
"heu2","侯喉猴瘊篌糇翭䗔䙈餱鯸","侯猴喉"
"heu3","吼㸸","吼"
"heu4","后厚後候堠怐𥅠鱟𪃶吼","後候后厚吼"
"ho1","呵訶","呵"
"ho2","和荷何河禾蚵鉌魺龢","何河荷禾和龢"
"ho4","𧬂賀荷","賀荷"
"ho5","涸𠗂合欱暍喝嗃郝熇壑嗑垎壑嵑廅愒㧁挌曷格𣣹𩌊毼皬盍盒矐蒚藃蝎螛蠚褐貉䚂轄䢔郃闔隺鞨頜鶡鶴齃","合盒闔盍鶴壑曷喝郝"
"hong1","𠐿𢝁揈渹䎕𥕗薨𦒃訇諻謍鍧魟烘轟哄","轟烘"
"hong2","虹泓字吰吽宏宖弘㢬𢘌揘洪浤渱瑝𥐪竑篊紅紘紭䍔𦏺翃耾苰葒訌𧮯谼鈜鉷鐄鞃䬝黌鴻","紅虹洪弘宏鴻"
"hong3","澋哄","哄"
"hong4","澒哄鬨汞","哄鬨汞"
"hu1","呼嘑幠滹虍虖軤魱","呼"
"hu2","乎瓠㗅壺弧湖狐猢瑚箶糊胡葫𧍵蝴衚醐餬鬍鶘鶦","壺乎胡湖糊鬍瑚葫衚蝴餬狐弧瓠"
"hu3","滸琥虎","虎琥滸"
"hu4","互冱婟嫭岵𡻮祜怙戶戽扈昈枑楛沍𣶉滬簄謼護擭濩鄠雇䨼韄頀鳸瓠","互戶滬瓠護"
"hu5","囫昒嗀嬳熇忽惚斛曶槲檴豰㳷淴瀫㿥笏縠芴螜䚛觳𣫈鑊䬍𩟓鵠鶮蠖彠","忽惚斛"
"hua1","花蕐","花"
"hua2","划崋摦蘹𧑍釫鋘驊鷨華","華"
"hua4","話倮樺化㕦䋀杹畫諣踝","化話畫"
"hua5","傄劃咶抇㧉搰滑猾磆縎螖頢豁","滑猾劃豁"
"huai2","槐懷㠢櫰淮瀤䃶褢","懷槐淮"
"huai4","壞𡾨懷絓蘾譮澅","壞"
"huan1","嚾懽歡䑏讙貛驩鸛","歡"
"huan2","𠟼圜寰擐峘桓澴環荁豩還鍰鐶闤𩘎𩙽鬟瓛","還環鐶桓"
"huan3","攌㬊綄鯇緩","緩"
"huan4","垸喚瘓奐宦幻患換槵浣渙漶澣煥獾甩皖睅睆緩莞豢逭","幻患宦喚換"
